"HB Weapons","Name","Specialisation","Dmg","Range","Mag","Enc","Cost","Avail","Traits","Description","Page"
"Scissorhands","Scissorhands","Brawling","2+StrB","--","--",1,"1,000,000","Exotic","Drukhari, Inflict (Restrained, Poisoned)","A Scissorhand is an incredibly dangerous close combat weapon used by Dark Eldar Haemonculi. It is a glove with long monomolecular blades attached to the fingertips like claws. The glove has a series of vein-like tubes that run along each finger, slowly reapplying an incredibly virulent poison to the blades. Victims who receive even the slightest of scratches by these blades become wracked with pain so incredible that it frequently causes the target to pass out or even die.","E-AD 5"
"Shaimeshi Blade","Shaimeshi Blade","One-Handed","6+StrB","--","--",1,"10,000,000","Exotic","Drukhari, Inflict (Poisoned (Major)), Penetrating (5)","Shaimeshi Blades are weapons of Dark Eldar Lhamaeans. A single scratch from this weapon can cause a victim’s flesh to begin eating itself, their brain to swell until it bursts through the skull, or their blood to acidify and melt bones and organs internally.","E-AD 5"
"Shardnet","Shardnet","One-Handed","1+StrB","--","--",1,1,"Exotic","Drukhari, Inflict (Restrained)","Shardnets are melee weapons used by Dark Eldar Wyches. Often used alongside the Impaler, Shardnets are electrified nets that when entrapping its victim renders them unable to strike back","E-AD 5"
"Vambrace Blade","Vambrace Blade","One-Handed","3+StrB","--","--",1,10,"Exotic","Drukhari, Defensive, Penetrating (2)",,"E-AD 5"
"Venom Blade","Venom Blade","One-Handed","4+StrB","--","--",1,20,"Exotic","Drukhari, Inflict (Poisoned), Penetrating (3)","The Venom Blade is a hallmark of the Dark Eldar aristocracy. There are vast numbers of all kind of poisoned weapons like vambrace blades, knives, daggers, swords, scimitars, whips and more, even beyond human imagination. These venom weapons host thousands of micropores that constantly exude a distilled elixir of hypertoxins keeping the blade always as deadly.","E-AD 5"
"Venomous Shardbomb","Venomous Shardbomb","Thrown, Ordnance",6,"--","--",0,15,"Exotic","Drukhari, Blast, Incflict (Poisoned), Loud, Thrown (Medium), Unstable","Venomous Shardbombs are weapons used by the Cult of the Cursed Blade and are translucent charges, filled with splinters of venomous shrapnel. After the Cult lures their enemies towards them, the Cursed Blade casts a volley of the Shardbombs to explode within their foes' midst. This riddles the Kabal's enemies with the Shardbombs' venomous shrapnel","E-AD 8"
"Wraithbone Grenade","Wraithbone Grenade","Thrown, Ordnance",7,"--","--",0,20,"Exotic","Drukhari, Blast, Inflict (Frightened), Loud, Thrown (Medium), Unstable","The Wraithbone Grenades launched by the Terrorfex go through a similar treatment process as the Soul-Seeker Ammunition, though where the Soul-Seeker rounds are treated to try and cause a maddening rage in the soul energy within, the Wraithbone grenades are treated so as to create an overwhelming sense of fear and despair. The grenades explode in the air above the target, releasing the soul energy in a haze that envelopes the target. The energies cause the same feelings to swell in the target, paralyzing them with fear or sadness.","E-AD 8"
"Xenospasm Grenade","Xenospasm Grenade","Thrown, Ordnance",10,"--","--",0,25,"Exotic","Drukhari, Blast, Loud, Thrown (Medium), Unstable","These special grenades are made of specially carved obsidian, with fragments of Wraithbone impregnated into the rock. The soul energy in this Wraithbone is tortured in much the same way as the Soul-Seeker Wraithbone, and once the obsidian explodes in the air, the souls housed inside aim the obsidian fragments directly at the target, flensing them with every fragment, rather than the small fraction of shards that would result from a conventional Frag Grenade.","E-AD 8"
"Lasrifle","Lasrifle","Long Guns",7,"Long",8,2,"1,000 (200)","Common","Blast Charger, Burst, Loud, Reliable, Two-Handed","The Kalibrax V-I Pattern Lasrifle was the standard weapon of Imperial Army Solar Auxilia during the Great Crusade and Horus Heresy. Of a higher quality than standard Lasguns or Lascarbines, it’s notable for its heavily reinforced energy transfer capacitors, overall durability, and superior heat dissipation qualities. The Kalibrax could also easily handle a variety of modifications and augmentative systems, such as bolt- collimator arrays and induction blast-chargers. For Post-Great Crusade games, they are worth 20,000 Solars and are Exotic.","E-GC 2"
"Blast Pistol 'Moxy Patter'","Blast Pistol 'Moxy Patter'","Pistols",9,"Medium",3,0,"1,200 (240)","Common","Close, Loud, Reliable","The Blast Pistol is a variant of the standard Imperial Laspistol used by the Solar Auxilia during the Great Crusade and Horus Heresy. The weapons were able to fire only a handful of shots before reloading, but their stopping power rivalled that of a Volkite Weapon. They were only produced by master weaponsmiths for the officer class and colonial nobility, compromising range with extreme lethality. For Post-Great Crusade Games, they are worth 24,000 Solars and are Exotic.","E-GC 2"
"Vratine Bolter","Vratine Bolter","Long Guns",8,"Long",4,3,8,"Rare","Loud, Penetrating (4), Rapid Fire (2), Spread, Two-Handed","The Vrantine Bolter is a boltgun of ancient and ornate Terran design that was sized to be used by mortals and was the preferred standard weapon of the Sisters of Silence. For Post-Great Crusade Games, they are worth 160,000 Solars and are Exotic.","E-GC 2"
"Nemesis Bolter","Nemesis Bolter","Long Guns",8,"Extreme",4,3,7,"Rare","Loud, Penetrating (4), Rapid Fire (2), Spread, Two-Handed","The Nemesis Bolter was a variant of the Sisters of Silence's Vrantine Bolter which possessed a longer range than its standard counterpart. For Post-Great Crusade Games, they are worth 140,000 Solars and are Exotic.","E-GC 2"
"Assault Needler","Assault Needler","Long Guns",1,"Long",6,2,6,"Rare","Inflict (Poisoned), Penetrating (6), Rapid Fire (3), Subtle, Two-Handed","For Post-Great Crusade games, they are worth 120,000 and are Exotic.","E-GC 2"
"Great Crusade Psyk-Out Grenade 'Moxy Pattern'","Great Crusade Psyk-Out Grenade 'Moxy Pattern'","Thrown, Ordnance","--","--","--",0,5,"Rare","Blast, Loud, Thrown (Medium), Unstable","Outwardly, a Psyk-Out Grenade looks much like one of the Frag Grenades in use by the many military forces of the Imperium. Its rarity and potency stems from the special additive that is laced within its explosive charge. Psyk-Out grenades make targeted zones Heavily Obscured for 3 rounds. This duration can be extended or shortened depending on ventilation, such as enclosed spaces or strong winds. Any character with the Psyker talent caught within this zone must take a Very Hard (-30) Willpower Test or forget a randomly determined psychic power. If a Psyker fails by two our more SL, they must immediately roll on Psychic Phenomena. Psykers may automaƟcally recover 1 forgotten power every six hours. Additionally, any attempt to manifest a psychic power from within the cloud automatically fails. For Post-Great Crusade Games, they are worth 100,000 Solars and are Exotic.","E-GC 2"
"Charnabal Saber","Charnabal Saber","One-Handed","4+StrB","--","--",1,10,"Exotic","Fast, Mastercrafted, Penetrating (4)","Charnabal Sabres are weapons dating back to the ancient dueling societies and assassin cults of Terra during the Age of Strife. These elegant and deadly weapons rely on speed and dexterity rather than brute force. The pure metal of their blades is press-folded and stamped many times over before being micro-serrated with a sharp edge. For Post-Great Crusade games, their starting price will be at least 2,000,000 Solars and Exotic but can go upwards of 3,000,000 Solars","E-GC 4"
"Charnabal Tabar","Charnabal Tabar","Two-Handed","6+StrB","--","--",2,15,"Exotic","Fast, Heavy (4), Mastercrafted, Penetrating (6), Two-Handed","Charnabal Sabres are weapons dating back to the ancient dueling societies and assassin cults of Terra during the Age of Strife. These elegant and deadly weapons rely on speed and dexterity rather than brute force. The pure metal of their blades is press-folded and stamped many times over before being micro-serrated with a sharp edge. For Post-Great Crusade games, their starting price will be at least 2,000,000 Solars and Exotic but can go upwards of 3,000,000 Solars","E-GC 4"
"Charnabal Spear","Charnabal Spear","Two-Handed","5+StrB","--","--",2,15,"Exotic","Fast, Mastercrafted, Penetrating (4), Reach, Two-Handed","Charnabal Sabres are weapons dating back to the ancient dueling societies and assassin cults of Terra during the Age of Strife. These elegant and deadly weapons rely on speed and dexterity rather than brute force. The pure metal of their blades is press-folded and stamped many times over before being micro-serrated with a sharp edge. For Post-Great Crusade games, their starting price will be at least 2,000,000 Solars and Exotic but can go upwards of 3,000,000 Solars","E-GC 4"
"Charnabal Broadsword","Charnabal Broadsword","Two-Handed","6+StrB","--","--",3,20,"Rare","Fast, Heavy (4), Mastercrafted, Penetrating (6), Two-Handed","Charnabal Sabres are weapons dating back to the ancient dueling societies and assassin cults of Terra during the Age of Strife. These elegant and deadly weapons rely on speed and dexterity rather than brute force. The pure metal of their blades is press-folded and stamped many times over before being micro-serrated with a sharp edge. For Post-Great Crusade games, their starting price will be at least 2,000,000 Solars and Exotic but can go upwards of 3,000,000 Solars","E-GC 4"
"Paragon Blade","Paragon Blade","Two-Handed","6+StrB","--","--",3,40,"Exotic","Heavy (4), Mastercrafted, Penetrating (6), Two-Handed","A Paragon Blade is an ancient melee weapon first forged by unknown means during the Dark Age of Technology in pre-Imperial times. These blades were few in number even in the early days of the Horus Heresy and took a number of forms. The most common Paragon Blades are two-handed Power Weapons of extraordinary balance and durability. For Post-Great Crusade Games, their starting price will be at least 3,000,000 Solars and Exotic, but can go upwards of 5,000,000 Solars.","E-GC 4"
"Executioner Greatblade","Executioner Greatblade","Two-Handed","6+StrB","--","--",3,60,"Exotic","Heavy (4), Mastercrafted, Penetrating (6), Two-Handed","Executioner Greatblades (or simply Execution Blades) are two-handed Power Swords that used by the Sisters of Silence and are wonders of the swordsmith's art. Each Greatblade is perfectly weighted for the martial style of its wielder and once the Sisters are schooled in their use, they strike with the speed of a duellist combined with the killing might of a veteran executioner. The blades are edged with diamond- hard silica glass, enabling a skilled strike to pierce the finest armour For Post-Great Crusade Games, they are worth 1,200,000 Solars and are Exotic.","E-GC 4"
"Charonite Claws","Charonite Claws","Brawling","4+StrB","--","--",2,1.5,"Scarce","Heavy (4), Penetrating (4), Rend (2)","These were heavily constructed servo-claws and matched augmetic implants designed to amplify and take advantage of an Ogryn's already formidable strength and physical stature. Charonite Claws needed to be surgically implanted, which meant that an Ogryn needed to have both his hands and forearms amputated in order to use them. Charonite Claws emerged in the early days of the Great Crusade as powerful weapons intended for use in the murderous confines of shipboard combat. For Post-Great Crusade Games, they are worth 30,000 Solars and are Exotic.","E-GC 4"
"Proteus Neuro-Lash","Proteus Neuro-Lash","One-Handed","1+StrB","--","--",1,5,"Rare","Loud, Reach, Inflict (Stunned)","Fashioned in the shape of baroque multi-headed flails or ornate three-sectioned staves, the Proteus neurolashes are relics of the Age of Strife used by the most skilled warriors among the ranks of the Silent Sisters to subdue large numbers of assailants at once. The neural prongs that adorn the weapons generate a phase-conducted shock field which works to overload a victim's nervous system with bursts of intense agony, so that even the slightest touch leaves them helpless. For Post-Great Crusade games, they are worth 100,000 Solars and are Exotic.","E-GC 4"
"Bolt Carbine 'Angelus Pattern'","Bolt Carbine 'Angelus Pattern'","Long Guns",8,"Extreme",3,3,"4,800 (400)","Rare","Accurate, Loud, Penetrating (5), Spread, Two-Handed","Production of the Astartes bolts is carefully controlled and monitored, and once made, each case is stamped with the aquila and its maker’s mark before being passed on to the Adepts of the Machine God. Despite the security and precautions inherent in this sacred duty, it is said a few of these shells never see the aquila stamp. These so called “blind shells” are both utterly illegal and highly desirable, but on their own, blind shells are useless without a weapon to fire them. Consequently, the Fane of Fykos makes in secret a weapon known as the “Angelus”. Bluntly elegant in shape and crafted from the finest materials, the Angelus’s lacquered stock houses its magazine and unlocks to take three Astartes calibre bolt shells snugly nose to tail. Provided only to their richest and most trustworthy of clients, the exclusivity and terrible killing power of the Angelus is favoured by the wealthiest of bounty hunters and the most accomplished of beast-slayers in the Calixis Sector. Carrying one of these powerful, but highly illegal weapons entails certain risks all of its own.","E-AI 7"
"Bolt Carbine 'Ceres Pattern'","Bolt Carbine 'Ceres Pattern'","Long Guns",8,"Medium",2,2,"6,000 (600)","Rare","Burst, Loud, Penetrating (4), Reliable, Spread, Two-Handed","Relatively uncommon weapons (the design was said to have been rescued from a space hulk and pressed into production specifically for the long-ago Angevin Crusade), Bolt Carbines are typically easier to wield than full-size Boltguns, due to lighter, simpler construction and a lower rate of fire. Without the multi-round burst ability common to many patterns of Bolter, a Bolt Carbine is incapable of the wholesale slaughter that characterizes volleys of bolter fire. However, their simpler design means that they misfire less frequently and are much easier to maintain.","E-AI 7"
"Combi-Bolter","Combi-Bolter","Long Guns",8,"Long",4,3,"7,800 (500)","Rare","Heavy (4), Loud, Penetrating (2), Rapid Fire (2), Twin-Linked, Spread, Two-Handed","Used by the Space Marines since before the Horus Heresy. The Combi-Bolter is essentially two Bolters attached together. While they are no longer produced in the Imperium, in favour of the more advanced successor: the Storm Bolter, some are still held as ancient relics. They are also commonly used by Chaos Space Marines and their forces.","E-AI 7"
"Mauler Bolt Pistol","Mauler Bolt Pistol","Pistols",6,"Medium",2,1,"4,800 (480)","Rare","Bust, Close, Loud, Penetrating (4), Spread)","A singular weapon, the Mauler is a finely made bolt pistol designed for normal human hands. Extremely sophisticated in design and made from the finest alloys and components, each Mauler is handmade and forged by the servitor-savants of the Cinder Crag in the Calixis Sector. Each weapon is uniquely tailored to the commissioner's exact biometric data and is as implacably lethal as it is an artefact. Mauler Bolt Pistols acquired normally do not benefit from biometric security, and may be used by anyone. Mauler Pistols made by commission cost twice the listed price and count as Mastercrafted weapons when used by the hand they were designed for","E-AI 7"
